id,cluster
367321,-1
367322,81
367323,46
367324,58
367325,28
367326,18
367328,67
367329,58
367330,69
367331,23
367332,60
367333,-1
367334,67
367335,58
367336,-1
367337,-1
367338,58
367339,58
367340,67
367341,57
367342,59
367343,61
367344,19
367345,-1
367346,18
367348,0
367349,2
367350,-1
367351,26
367352,-1
367353,55
367354,-1
367355,79
367356,20
367357,95
367358,86
367359,46
367360,85
367361,-1
367362,-1
367363,58
367364,65
367365,93
367366,-1
367367,102
367368,-1
367369,70
367370,32
367371,14
367372,35
367373,-1
367374,58
367375,41
367376,80
367377,46
367378,54
367379,38
367380,41
367381,-1
367382,57
367383,-1
367384,19
367385,45
367386,51
367387,35
367388,51
367389,6
367390,81
367391,71
367392,56
367393,7
367394,86
367395,58
367396,48
367397,58
367398,15
367399,40
367400,53
367401,-1
367402,46
367403,1
367404,58
367405,17
367406,-1
367407,86
367408,93
367409,71
367410,81
367411,89
367412,58
367413,58
367414,58
367415,-1
367416,86
367417,68
367418,41
367419,58
367420,58
367421,67
367422,-1
367423,41
367424,68
367425,81
367426,11
367427,54
367428,-1
367429,58
367430,67
367431,18
367432,67
367433,-1
367434,12
367435,38
367436,27
367437,58
367438,28
367439,76
367440,83
367442,58
367443,-1
367444,-1
367445,12
367446,27
367447,17
367448,-1
367449,58
367450,31
367451,76
367452,58
367453,65
367454,97
367455,45
367456,-1
367457,12
367458,58
367459,5
367460,27
367461,-1
367462,-1
367463,81
367464,81
367465,58
367466,-1
367467,58
367468,54
367469,-1
367470,58
367471,76
367472,91
367473,91
367474,68
367475,12
367476,-1
367477,97
367478,45
367479,19
367480,-1
367481,58
367482,67
367483,58
367484,-1
367485,32
367486,-1
367487,-1
367488,-1
367489,-1
367490,45
367492,0
367493,2
367494,67
367495,48
367496,47
367497,43
367498,58
367499,38
367500,-1
367501,85
367502,10
367503,45
367504,78
367505,69
367506,41
367507,35
367508,-1
367509,4
367510,15
367511,31
367512,52
367513,63
367514,-1
367515,-1
367516,-1
367517,-1
367518,-1
367519,-1
367520,65
367521,-1
367522,-1
367523,27
367524,-1
367525,84
367526,45
367527,-1
367528,58
367529,8
367530,65
367531,41
367532,-1
367533,-1
367534,58
367535,53
367536,-1
367537,-1
367538,-1
367539,-1
367540,-1
367541,64
367542,80
367543,89
367544,75
367545,45
367546,-1
367547,-1
367548,-1
367549,24
367550,-1
367551,75
367552,58
367553,7
367554,74
367555,51
367556,-1
367557,-1
367558,-1
367559,92
367560,75
367561,67
367562,44
367563,-1
367564,-1
367565,-1
367566,30
367567,101
367568,15
367569,13
367570,-1
367571,61
367572,58
367573,21
367574,12
367575,-1
367576,-1
367577,32
367578,63
367579,37
367580,37
367581,-1
367582,10
367583,27
367584,63
367585,-1
367586,103
367587,18
367588,91
367589,69
367590,-1
367591,101
367592,-1
367593,-1
367594,-1
367595,70
367596,37
367597,37
367598,10
367599,18
367600,103
367601,69
367602,97
367603,-1
367604,-1
367605,5
367606,28
367607,97
367608,58
367609,29
367610,-1
367611,63
367612,-1
367613,45
367614,17
367615,15
367616,10
367617,64
367618,70
367619,54
367620,58
367621,-1
367622,58
367623,58
367624,58
367625,58
367626,70
367627,58
367628,41
367629,59
367630,65
367631,64
367632,26
367633,61
367634,97
367635,-1
367636,67
367637,61
367638,12
367639,15
367640,15
367641,58
367642,58
367643,67
367644,58
367645,-1
367646,-1
367647,58
367648,45
367650,0
367651,2
367652,-1
367653,67
367654,63
367655,51
367656,15
367657,97
367658,58
367659,-1
367660,67
367661,18
367662,-1
367663,100
367664,-1
367665,-1
367666,-1
367667,54
367668,34
367669,-1
367670,77
367671,61
367672,-1
367673,70
367674,34
367675,8
367676,39
367677,38
367678,101
367679,73
367680,95
367681,10
367682,-1
367683,97
367684,-1
367685,8
367686,-1
367687,41
367688,65
367689,96
367690,67
367691,94
367692,27
367693,71
367694,15
367695,76
367696,20
367697,80
367698,80
367699,86
367700,100
367701,-1
367702,41
367703,55
367704,31
367705,-1
367706,58
367707,89
367708,31
367709,62
367710,-1
367711,70
367712,80
367713,100
367714,62
367715,-1
367716,-1
367717,65
367718,74
367719,-1
367720,97
367721,41
367722,45
367723,3
367724,80
367725,42
367726,62
367727,81
367728,-1
367729,-1
367730,25
367731,45
367732,103
367733,7
367734,42
367735,-1
367736,89
367737,-1
367738,3
367739,97
367740,65
367741,75
367742,-1
367743,58
367744,103
367745,46
367746,83
367747,-1
367748,-1
367749,59
367750,-1
367751,-1
367752,69
367753,10
367754,101
367755,-1
367756,-1
367757,94
367758,67
367759,58
367760,58
367761,65
367762,-1
367763,58
367764,58
367765,42
367766,-1
367767,-1
367768,11
367769,-1
367770,91
367771,77
367772,16
367773,8
367774,16
367775,58
367776,27
367777,58
367778,-1
367779,49
367780,5
367781,84
367782,32
367783,42
367784,6
367785,-1
367786,39
367787,98
367788,25
367789,-1
367790,-1
367791,58
367793,48
367794,46
367795,89
367796,35
367797,67
367798,-1
367799,3
367800,77
367801,3
367802,67
367803,22
367805,0
367806,2
367807,22
367808,22
367809,103
367810,67
367811,-1
367812,69
367813,-1
367814,64
367815,89
367816,-1
367817,58
367818,34
367819,78
367820,10
367821,22
367822,15
367823,15
367824,26
367825,76
367826,34
367827,28
367828,54
367829,28
367830,-1
367831,94
367832,-1
367833,-1
367834,69
367835,65
367836,-1
367837,10
367838,84
367839,97
367840,75
367841,-1
367842,93
367843,-1
367844,72
367845,-1
367846,74
367847,22
367848,58
367849,-1
367850,70
367851,22
367852,73
367853,94
367854,-1
367855,30
367856,60
367857,-1
367858,22
367859,86
367860,71
367861,81
367862,97
367863,-1
367864,75
367865,3
367866,3
