id,cluster
368174,8
368175,0
368176,0
368177,0
368178,8
368179,7
368180,8
368181,3
368182,8
368183,2
368184,1
368185,5
368186,8
368187,9
368188,0
368189,0
368190,8
368191,11
368192,8
368193,8
368194,8
368195,8
368196,2
368197,8
368198,1
368199,8
368200,8
368201,3
368202,8
368203,0
368204,8
368205,8
368206,8
368207,9
368208,0
368209,8
368210,0
368211,1
368212,1
368213,2
368214,9
368215,8
368216,8
368217,8
368218,11
368219,1
368220,0
368221,0
368222,2
368223,8
368224,0
368225,3
368226,9
368227,8
368228,3
368229,3
368230,0
368231,1
368232,9
368233,0
368234,9
368235,1
368236,1
368237,8
368238,9
368239,8
368240,9
368241,8
368242,0
368243,9
368244,8
368245,0
368246,8
368247,8
368248,8
368249,0
368250,8
368251,11
368252,11
368254,8
368255,8
368256,0
368257,2
368258,5
368259,9
368260,8
368261,2
368262,8
368263,8
368264,2
368265,8
368266,8
368267,8
368268,3
368269,8
368270,1
368271,9
368272,8
368273,8
368274,9
368275,8
368276,1
368277,3
368278,0
368279,9
368280,2
368281,8
368282,0
368283,7
368284,8
368285,8
368286,9
368287,5
368288,9
368289,8
368290,8
368291,9
368292,3
368293,9
368294,3
368295,10
368296,2
368297,1
368298,8
368299,8
368300,8
368301,8
368302,8
368303,8
368304,8
368305,2
368306,6
368307,8
368308,9
368309,8
368310,8
368312,11
368313,8
368314,1
368315,7
368317,2
368318,8
368319,5
368320,11
368321,8
368322,8
368323,1
368324,2
368325,3
368326,9
368327,8
368328,11
368329,0
368330,0
368331,8
368332,3
368333,6
368334,9
368335,0
368336,11
368337,1
368338,6
368339,3
368340,0
368341,4
368342,8
368343,10
368344,1
368345,8
368346,9
368347,3
368348,11
368349,9
368350,1
368351,8
368352,0
368353,9
368354,8
368355,0
368356,9
368357,5
368358,8
368359,0
368360,9
368361,9
368362,0
368363,5
368364,6
368365,8
368366,8
368367,8
368368,5
368369,0
368370,5
368371,8
368372,8
368373,8
368374,5
368375,0
368377,3
368378,9
368379,9
368380,8
368381,8
368382,1
368383,8
368384,8
368385,9
368386,9
368387,8
368388,8
368389,8
368390,2
368391,9
368392,8
368393,0
368394,9
368395,9
368396,9
368397,9
368398,8
368399,8
368400,8
368401,8
368402,0
368403,8
368404,9
368405,9
368406,8
368407,0
368408,7
368409,10
368410,0
368411,3
368412,8
368413,8
368414,8
368415,7
368416,1
368417,8
368418,11
368419,6
368420,3
368421,3
368422,8
368423,1
368424,6
368425,2
368426,7
368427,7
368428,0
368429,8
368430,8
368431,2
368432,2
368433,2
368434,8
368435,8
368436,5
368437,3
368438,9
368439,2
368440,9
368441,8
368442,8
368443,0
368444,0
368445,3
368446,1
368447,8
368448,8
368449,0
368450,0
368451,11
368452,8
368453,0
368454,8
368455,8
368456,8
368457,0
368458,3
368459,8
368460,9
368461,9
368462,9
368463,9
368464,9
368465,3
368466,8
368467,7
368469,2
368470,8
368471,2
368472,8
368473,3
368474,8
368475,8
368476,8
368477,1
368478,0
368479,0
368480,2
368481,1
368482,4
368483,8
368484,8
368485,11
368486,8
368487,1
368488,1
368489,11
368490,8
368491,0
368492,9
368493,9
368494,9
368495,8
368496,9
368497,9
368498,8
368499,3
368500,2
368501,9
368502,0
368503,8
368504,0
368505,8
368506,9
368507,8
368508,8
368509,8
368510,8
368511,8
368512,9
368513,8
368514,11
368515,8
368516,4
368517,9
368518,8
368519,1
368520,8
368521,9
368522,11
368523,1
368524,0
368525,8
368526,8
368527,2
368528,0
368529,9
368530,8
368531,8
368532,6
368533,5
368534,0
368535,11
368536,3
